data,turno,rota_principal,sentido,antecedencia,dia_da_semana,pax,capacidade_atual,occ_atual,vagas_restantes,lf_proj_2026,lf_atual,ratio_vs_proj,tkm_atual,tkm_comp,preco_base,preco_est_draft,preco_est_novo,preco_praticado,mult_final,mult_flutuacao,price_cc
2026-04-17,MANHA,BAT-SAO,BAT-SAO,18,6,19,46,0.41,27,0.0928,0.3321,3.5797,77.16,110.7,123.9,123.9,143.9,143.9,1.161,1.2584010624609374,199.95
2026-04-17,MANHA,BHZ-RIO,BHZ-RIO,18,6,36,60,0.6,24,0.2871,0.5699,1.9847,125.34,167.6,95.9,110.9,150.9,150.9,1.571,1.8771469740488713,253.308
2026-04-17,NOITE,ANG-BHZ,ANG-BHZ,18,6,27,46,0.59,19,0.203,0.5294,2.6072,159.16,163.35,160.9,160.9,194.9,194.9,1.211,2.006992232785756,
2026-04-17,NOITE,ANG-BHZ,BHZ-ANG,18,6,58,95,0.61,37,0.1925,0.4873,2.5312,265.09,309.55,168.9,228.9,337.9,337.9,1.996,1.18,
2026-04-17,NOITE,BAT-SAO,BAT-SAO,18,6,21,45,0.47,24,0.1853,0.4538,2.4489,118.52,141.75,142.9,155.9,177.9,177.9,1.243,1.3626025621871065,235.15
2026-04-17,NOITE,BAT-SAO,SAO-BAT,18,6,42,92,0.46,50,0.1877,0.4011,2.1363,117.42,153.05,136.9,160.9,179.9,179.9,1.314,1.3106396793301214,237.475
2026-04-17,NOITE,BHZ-CAB,BHZ-CAB,18,6,337,598,0.56,261,0.7329,0.5995,0.8179,214.18,244.88,158.9,209.9,244.9,244.9,1.539,1.4023636363636367,349.9
2026-04-17,NOITE,BHZ-GYN,BHZ-GYN,18,6,35,64,0.55,29,0.3898,0.4747,1.218,154.07,236.99,111.9,124.9,148.9,148.9,1.331,1.5500189208984374,154.49
2026-04-17,NOITE,BHZ-RIO,BHZ-RIO,18,6,447,691,0.65,244,0.8624,0.7012,0.813,199.35,215.63,111.9,137.9,172.9,172.9,1.538,1.7613333333333336,256.958
2026-04-17,NOITE,BHZ-VIX,BHZ-VIX,18,6,241,529,0.46,288,0.7503,0.4337,0.5781,207.03,192.75,127.9,161.9,203.9,203.9,1.593,1.4369499999999995,285.886
2026-04-17,NOITE,BHZ-VIX,VIX-BHZ,18,6,140,314,0.45,174,0.412,0.4563,1.1076,149.18,132.67,115.9,132.9,139.9,139.9,1.205,1.451542705428739,204.072
2026-04-17,NOITE,CAB-SAO,SAO-CAB,18,6,157,178,0.88,21,0.6003,0.8762,1.4596,206.13,203.0,136.9,157.9,248.9,248.9,1.815,1.82,
2026-04-17,NOITE,CGR-SAO,CGR-SAO,18,6,36,60,0.6,24,0.119,0.544,4.5715,159.51,251.8,157.9,157.9,194.9,194.9,1.234,1.5499051279910157,366.895
2026-04-17,NOITE,CMP-GUR,CMP-GUR,18,6,45,45,1.0,0,0.0,0.7697,0.0,112.1,102.53,93.9,122.9,141.9,141.9,1.507,0.82,
2026-04-17,NOITE,CMP-RIO,CMP-RIO,18,6,65,102,0.64,37,0.3797,0.754,1.986,177.98,192.4,103.9,136.9,206.9,206.9,1.987,1.23,202.69
2026-04-17,NOITE,CMP-RIO,RIO-CMP,18,6,22,44,0.5,22,0.173,0.48,2.7741,101.31,130.88,98.9,108.9,130.9,130.9,1.319,1.493290845324234,169.237
